name,namespace,key,type,description,filterable
Gross Weight (kg),specs,gross_weight_kg,number_decimal,,TRUE
Net Weight (kg),specs,net_weight_kg,number_decimal,,TRUE
Volume (mc),specs,volume_mc,number_decimal,,TRUE
Rack Size (mm),specs,rack_size_mm,single_line_text_field,,TRUE
Maximum Glass Height (mm),specs,max_glass_height_mm,number_integer,,TRUE
Useable Chamber Height (mm),specs,usable_chamber_height_mm,number_integer,,TRUE
Maximum Dishes Height (mm),specs,max_dishes_height_mm,number_integer,,TRUE
Maximum Trays Height (mm),specs,max_trays_height_mm,number_integer,,TRUE
Door Construction,specs,door_construction,single_line_text_field,,TRUE
Tank Volume (L),specs,tank_volume_l,number_decimal,,TRUE
Tank Heating Element (W),specs,tank_heating_element_w,number_integer,,TRUE
Tank Surface Strainers,specs,tank_surface_strainers,single_line_text_field,,TRUE
Wash Pump Type,specs,wash_pump_type,single_line_text_field,,TRUE
Maximum Water Consumption (Liters/hour),specs,max_water_consumption_lph,number_decimal,,TRUE
Maximum Water Consumption (Liters/rack),specs,max_water_consumption_lpr,number_decimal,,TRUE
Min Water Supply Temperature (°C),specs,min_water_temp_c,number_decimal,,TRUE
Max Water Supply Temperature (°C),specs,max_water_temp_c,number_decimal,,TRUE
Min Water Supply Pressure (bar),specs,min_water_pressure_bar,number_decimal,,TRUE
Max Water Supply Pressure (bar),specs,max_water_pressure_bar,number_decimal,,TRUE
Wash Temperature (°C),specs,wash_temperature_c,number_decimal,,TRUE
Maximum Real Productivity (racks/hour),specs,max_real_productivity_rph,number_integer,,TRUE
Maximum Theoretical Productivity (racks/hour),specs,max_theoretical_productivity_rph,number_integer,,TRUE
Boiler Volume (L),specs,boiler_volume_l,number_decimal,,TRUE
Boiler Type,specs,boiler_type,single_line_text_field,,TRUE
Boiler Heating Element (W),specs,boiler_heating_element_w,number_integer,,TRUE
Rinse Temperature (°C),specs,rinse_temperature_c,number_decimal,,TRUE
Rinse Water Consumption,specs,rinse_water_consumption,single_line_text_field,,TRUE
Wash Cycle (sec),specs,wash_cycle_sec,number_integer,,TRUE
Productivity Speed 1 (racks/hr),specs,productivity_speed_1_rph,number_integer,,TRUE
Productivity Speed 2 (racks/hr),specs,productivity_speed_2_rph,number_integer,,TRUE
Phrase,specs,phrase,single_line_text_field,,TRUE
Power with cold water supply (W),specs,power_cold_water_w,number_integer,,TRUE
Power with hot water supply (W),specs,power_hot_water_w,number_integer,,TRUE
Power with plus heat recovery system (W),specs,power_heat_recovery_w,number_integer,,TRUE
Max Electric Power (W),specs,max_electric_power_w,number_integer,,TRUE
Wash Pump Power (W),specs,wash_pump_power_w,number_integer,,TRUE
Drain Pump (W),specs,drain_pump_power_w,number_integer,,TRUE
Rinse Pump (W),specs,rinse_pump_power_w,number_integer,,TRUE
Door/Hood Opening (cm),specs,door_opening_cm,number_decimal,,TRUE
Self Cleaning Cycle,specs,self_cleaning_cycle,boolean,,TRUE
Rinse Aid Dispenser,specs,rinse_aid_dispenser,boolean,,TRUE
Detergent Dispenser,specs,detergent_dispenser,boolean,,TRUE
Pump Warranty,specs,pump_warranty,single_line_text_field,,TRUE
