Variant SKU,Body (HTML),title
test-1,คำอธิบาย,ชื่อไทย
MBM1-MCPG74A,"<ul>
<li><strong>คุณสมบัติพื้นฐาน:</strong></li>
<ul>
<li>ถังขึ้นรูปทำจากสแตนเลสสตีล AISI 316 กันการกัดกร่อน พร้อมมุมโค้งมนเพื่อความสะดวกในการทำความสะอาด</li>
<li>ตะกร้าพาสต้าที่เป็นอุปกรณ์เสริมทำจากสแตนเลสสตีล AISI 304 18/10 พร้อมด้ามจับกันความร้อน</li>
<li>วาล์วไฟฟ้าสำหรับเติมน้ำ</li>
</ul>

<li><strong>รุ่นแก๊ส:</strong></li>
<ul>
<li>หัวเตาสแตนเลสสตีลพร้อมเปลวไฟที่ปรับเสถียรได้เอง</li>
<li>อุปกรณ์นิรภัยเทอร์โมคัปเปิลที่เชื่อมต่อกับไฟนำร่อง</li>
<li>ระบบจุดไฟแบบพีโซอิเล็กทริก</li>
</ul>
</ul>
",เครื่องต้มพาสต้าแก๊ส - 26 ลิตร
MBM1-MFTG74TLC,<ul><li><strong>คุณสมบัติพื้นฐาน:</strong><ul><li>แผ่นทำอาหารเหล็กเรียบพร้อมมุมโค้งด้านหน้า มีทั้งแบบขัดเงาหรือชุบโครเมี่ยมทึบ</li><li>แผ่นหนา 15 มม.</li><li>อ่างสแตนเลสสตีลถอดได้ความจุ 2 ลิตรสำหรับระบายน้ำมัน</li><li>ในรุ่น 70 ซม. สามารถแยกการทำอาหารได้ด้วยหัวเตาแก๊ส/ชุดทำความร้อนไฟฟ้าที่ควบคุมแยกอิสระ</li><li>พื้นผิวชุบโครเมี่ยมช่วยให้ทำอาหารต่างชนิดได้โดยไม่มีกลิ่นและรสชาติติดกัน</li><li>ไม่จำเป็นต้องทำความสะอาดแผ่นกริลล์ระหว่างทำอาหารต่างชนิด</li><li>การกระจายความร้อนต่ำ ทำให้สภาพแวดล้อมการทำงานสบายขึ้น</li><li>พื้นผิวทำงานหนา 1 มม. ทำจากสแตนเลสสตีล AISI 18/10</li><li>การจัดแนวข้อต่อที่ยอดเยี่ยม</li></ul></li></ul>,เตากริลล์แก๊ส แบบผิวเรียบ - 350x570 มม.
ROL1-140,"<ul>
<li>เตาย่างหินลาวา 140 เป็นเตาย่างไฟฟ้าที่ใช้สำหรับเสียบย่างเนื้อหรือปลา และอาหารย่างที่เป็นธรรมชาติ ดีต่อสุขภาพ รสชาติดี และย่อยง่าย</li>
<li>เช่นเดียวกับถ่านไม้ หินลาวาจะกระจายความร้อนอย่างสม่ำเสมอทั่วตะแกรงปรุงอาหารและดูดซับไขมัน</li>
<li>เตาย่างไฟฟ้าระดับมืออาชีพนี้สามารถย่างปลา, เนื้อ, ไส้กรอกได้ต่อเนื่องและสลับกันโดยไม่มีการถ่ายเทรสชาติหรือกลิ่น</li>
<li>ที่กันประกายไฟสแตนเลสติดตั้งรอบเตาย่างไฟฟ้าช่วยป้องกันการกระเด็นจากการปรุงอาหาร</li>
<li>เตาย่างไฟฟ้านี้ทำความสะอาดง่ายมาก หินลาวาสามารถล้างในเครื่องล้างจานได้ กล่องไฟฟ้าและถาดเคลือบสามารถถอดออกได้ทั้งหมด</li>
</ul>

<ul>
<li>คุณสมบัติ:</li>
<ul>
<li>ตัวควบคุมพลังงาน 10 ตำแหน่ง</li>
<li>ไฟแสดงการควบคุม</li>
</ul>
</ul>
",ROL1-140
ROL1-CO60,"<ul>
<li><strong>เครื่องต้มไข่มืออาชีพ CO 60 เป็นอุปกรณ์ที่จำเป็นสำหรับบุฟเฟ่ต์อาหารเช้าและบรันช์</strong></li>
<li>เครื่องต้มไข่ Gastronorm GN 1/3 เป็นอุปกรณ์มืออาชีพที่ขาดไม่ได้สำหรับบุฟเฟ่ต์อาหารเช้าในโรงแรมและบรันช์ในร้านอาหาร</li>
<li>เครื่องต้มไข่มืออาชีพนี้ช่วยให้ลูกค้าแต่ละคนสามารถเตรียมไข่สำหรับอาหารเช้าได้ตามเวลาการปรุงที่ต้องการ: ไข่ลวก ไข่ต้ม ไข่ดาว... ไม่มีอะไรง่ายและปลอดภัยไปกว่าการใช้เครื่องต้มไข่ Roller Grill!</li>
</ul>

<ul>
<li><strong>เครื่องต้มไข่ Roller Grill ทำงานเหมือนอ่างน้ำร้อน:</strong></li>
<ul>
<li>เพียงแค่เทน้ำลงในถาดสแตนเลส GN 1/3 และจุ่มตะกร้าไข่ลงในน้ำเดือด</li>
<li>ขดลวดความร้อนที่ทรงพลังถูกติดตั้งไว้ใต้ภาชนะ</li>
<li>แผ่นอลูมิเนียมถ่ายเทความร้อนไปยังฐานของถาดน้ำทั้งหมดอย่างสม่ำเสมอ</li>
<li>ตัวจำกัดอุณหภูมิช่วยให้คุณต้มไข่ได้อย่างปลอดภัย</li>
</ul>
</ul>

<ul>
<li><strong>ทำความสะอาดและจัดเก็บง่าย:</strong> เครื่องต้มไข่ขนาดกะทัดรัดนี้มาพร้อมฝาสแตนเลส มาพร้อมตะกร้าที่มีหมายเลขกำกับ 6 ใบ และสามารถใส่ตะกร้าไข่ได้สูงสุด 10 ใบ</li>
</ul>
",ROL1-CO60
ROB1-12,"<li>เตาไฟฟ้าแบบต้มเดือดสองหัวแบบพกพาพร้อมองค์ประกอบความร้อน 150 มม. จำนวน 2 ชิ้น</li>
<li>ควบคุมอุณหภูมิแยกกันสำหรับแต่ละเตา</li>
<li>ระยะเวลาการทำความร้อนรวดเร็ว เหมาะสำหรับการทำอาหารเบาๆ การต้ม หรือการอุ่นอาหาร</li>
<li>ตัวเครื่องทำจากสแตนเลส เหมาะสำหรับสภาพแวดล้อมเชิงพาณิชย์</li>
<li>ตัวเครื่องขนาดกะทัดรัดสำหรับใช้งานบนโต๊ะทำงานในร้านกาแฟ แผงขายของ หรือพื้นที่ครัวสำรอง</li>
<br><br>
<p style=""margin-bottom: 26px; font-size: 16px; font-weight: 500; line-height: 24px;"">ข้อมูลจำเพาะทางเทคนิค:</p>
<li>แหล่งจ่ายไฟ: 220V / 50Hz</li>
<li>การใช้พลังงาน: 2300W</li>
<li>แผ่นทำความร้อน: 2 × 150 มม.</li>
<li>ขนาดภายนอก: ประมาณ 500 × 290 × 130 มม.</li>
<li>วัสดุ: ตัวเครื่องสแตนเลสพร้อมแผ่นเหล็กหล่อ</li>
<li>การรับประกันชิ้นส่วนอะไหล่: 1 ปี</li>
<li>การรับประกันการบริการ: 1 ปี</li>
<li>ผลิตใน: ออสเตรเลีย</li>
<li>มาตรฐานการรับรอง: CE</li>
",เตาไฟฟ้าแรงสูง 2x150 มม. 220 V 2300 W
LIN1-650101,"<li>เหมาะสำหรับการทอดเฟรนช์ฟรายส์ อาหารทอดตามสั่ง หรืออาหารที่มีกลิ่นรสเข้มข้น</li>
<li>เทอร์โมสตัทแบบกลไกควบคุมอุณหภูมิน้ำมันให้อยู่ในช่วง +/-8°C ของอุณหภูมิที่ตั้งไว้</li>
<li>ถังสแตนเลสสตีลปั๊มขึ้นรูปชิ้นเดียวพร้อมมุมโค้งมนเพื่อลดเวลาทำความสะอาด</li>
<li>แผงควบคุมแบบยกออกได้สำหรับการทำความสะอาดและบำรุงรักษาอย่างง่ายดาย</li>
<li>โครงสร้างสแตนเลสสตีลทนทานสำหรับอายุการใช้งานยาวนาน</li>
<li>ดีไซน์แบบวางบนเคาน์เตอร์กะทัดรัดเพื่อประสิทธิภาพในการใช้พื้นที่สูงสุด</li>
<li>ชุดทำความร้อนประสิทธิภาพสูงสำหรับการฟื้นตัวของอุณหภูมิอย่างรวดเร็ว</li>
<li>ระบบควบคุมติดตั้งด้านหน้าเพื่อการใช้งานที่ปลอดภัยและสะดวก</li>
<li>มาพร้อมตะกร้าทอดสแตนเลสสตีลคุณภาพสูงหนึ่งชิ้น</li>
<li>เหมาะสำหรับการบริการอาหารขนาดเล็กถึงปานกลาง</li>
<br><br>
<p style=""margin-bottom: 26px; font-size: 16px; font-weight: 500; line-height: 24px;"">ข้อมูลทางเทคนิค:</p>
<li>กำลังไฟ: 3.2 กิโลวัตต์</li>
<li>แรงดันไฟฟ้า: 230V/50Hz/1Ph</li>
<li>ขนาด: 203มม. (กว้าง) x 375มม. (ลึก) x 295มม. (สูง)</li>
<li>โครงสร้าง: สแตนเลสสตีล</li>
<li>ช่วงอุณหภูมิ: สูงสุด 190°C</li>
<li>ประเภทการควบคุม: เทอร์โมสตัทแบบกลไก</li>
<li>ขนาดตะกร้า: ตะกร้าเดี่ยวมาตรฐาน</li>
<li>ความจุถัง: 4 ลิตร</li>
<li>ความจุน้ำมัน: 4 ลิตร</li>
<li>น้ำหนักสุทธิ: 6.5 กก.</li>
<li>การรับประกันอะไหล่: 1 ปี</li>
<li>การรับประกันการบริการ: 90 วัน</li>
<li>ผลิตใน: สหราชอาณาจักร</li>
<li>การรับรอง: CE, UKCA</li>",เครื่องทอดไฟฟ้า - 4 ลิตร - 1 ถัง - 3.2 กิโลวัตต์ - ซีรีส์อีโค
LIN1-GR3-P,"<li>หัวเผาเซรามิคแผ่นทรงพลังสำหรับให้ความร้อนอย่างรวดเร็ว</li>
<li>การกระจายความร้อนอย่างสม่ำเสมอเพื่อผลลัพธ์สูงสุดและการปรุงอาหารที่สม่ำเสมอ</li>
<li>ตำแหน่งชั้นวาง 5 ระดับเพื่อความยืดหยุ่นสูงสุดสำหรับการดำเนินงานด้านอาหารทุกประเภท</li>
<li>ชั้นวางลวดชุบโครเมียมเพื่อให้สามารถวางถาดและอาหารสำหรับการปรุงอาหาร</li>
<li>ที่จับกันความร้อนเพื่อความปลอดภัย</li>
<li>ภายในและหน้ากากเคลือบอีนาเมลเพื่อการทำความสะอาดที่ง่าย</li>
<li>เหมาะสำหรับร้านอาหาร ผับ และร้านอาหารจานด่วนที่มีการทำงานเร็ว</li>
<li>เหมาะที่สุดสำหรับการผลิตเนื้อย่าง ปลา และขนมปังปิ้งที่สมบูรณ์แบบ</li>
<li>การออกแบบระบบแก๊สที่กะทัดรัดเหมาะสำหรับครัวขนาดเล็ก</li>
<li>ใช้งานและบำรุงรักษาง่าย</li>
<br><br>
<p style=""margin-bottom: 26px; font-size: 16px; font-weight: 500; line-height: 24px;"">ข้อมูลทางเทคนิค:</p>
<li>กำลังไฟ: 5.0 กิโลวัตต์</li>
<li>ประเภทแก๊ส: แก๊สโพรเพน</li>
<li>ขนาด: 600มม. (กว้าง) x 350มม. (ลึก) x 314มม. (สูง)</li>
<li>โครงสร้าง: สแตนเลสสตีล</li>
<li>ประเภทการควบคุม: ควบคุมแก๊สแบบธรรมดา</li>
<li>พื้นที่ปรุงอาหาร: 410มม. (กว้าง) x 230มม. (ลึก)</li>
<li>จำนวนตำแหน่งชั้นวาง: 5</li>
<li>ประเภทหัวเผา: หัวเผาเซรามิคแผ่น</li>
<li>น้ำหนักสุทธิ: 20 กก.</li>
<li>ติดตั้งโดยมืออาชีพ: ใช่</li>
<li>การรับประกันชิ้นส่วน: 1 ปี</li>
<li>การรับประกันบริการ: 1 ปี</li>
<li>ผลิตใน: สหราชอาณาจักร</li>
<li>การรับรอง: CE, UKCA</li>","เตาซาลาแมนเดอร์แก๊ส - โพรเพน - 17,100 BTU/ชม. - 5.0 กิโลวัตต์"
NTS1-SINK404030,"<p>ผลิตภัณฑ์ NTS Stainless Steel Fabrication เป็นโซลูชันที่ออกแบบขึ้นเป็นพิเศษเพื่อตอบสนองความต้องการเฉพาะของห้องครัวระดับมืออาชีพ ร้านอาหาร โรงแรม และสิ่งอำนวยความสะดวกด้านการแปรรูปอาหาร
ผลิตภัณฑ์สั่งทำเหล่านี้ผสมผสานงานฝีมืออันยอดเยี่ยมเข้ากับสเตนเลสเกรดอาหารระดับพรีเมียม เพื่อมอบอุปกรณ์ที่เหมาะกับพื้นที่และความต้องการในการดำเนินงานของคุณอย่างสมบูรณ์แบบ
โครงการผลิตแต่ละโครงการต้องผ่านการควบคุมคุณภาพอย่างเข้มงวดเพื่อให้แน่ใจว่ามีขนาดที่แม่นยำ การเชื่อมที่ไร้ที่ติ และการตกแต่งที่ไร้ที่ติซึ่งตรงตามมาตรฐานความปลอดภัยด้านอาหารระดับสากล
ช่างฝีมือที่มีประสบการณ์ของเราทำงานอย่างใกล้ชิดกับลูกค้าเพื่อเปลี่ยนแนวคิดให้กลายเป็นอุปกรณ์ที่ใช้งานได้จริงและทนทานซึ่งช่วยเพิ่มประสิทธิภาพการทำงานและรักษามาตรฐานด้านสุขอนามัยสูงสุด
การใช้สเตนเลสเกรด 304 ช่วยให้ทนทานต่อการกัดกร่อนเป็นพิเศษ ทำความสะอาดง่าย และใช้งานได้ยาวนานในสภาพแวดล้อมเชิงพาณิชย์ที่มีความต้องการสูง
ตั้งแต่โต๊ะทำงานแบบกำหนดเองไปจนถึงอ่างล้างจานเฉพาะ เครื่องดูดควัน และโซลูชันการจัดเก็บ ผลิตภัณฑ์ทุกชิ้นได้รับการปรับแต่งให้ตรงตามข้อกำหนดที่แน่นอนในขณะที่ยังคงความสมบูรณ์ของโครงสร้างและความสวยงาม
โต๊ะทำงานของเรามีการออกแบบแบบถอดประกอบได้เพื่อให้ขนส่งและติดตั้งง่าย ลดต้นทุนการจัดส่ง และทำให้การประกอบในสถานที่ง่ายขึ้น
แนวทางการออกแบบแบบโมดูลาร์ช่วยให้สามารถปรับเปลี่ยนและขยายได้ในอนาคต ช่วยปกป้องการลงทุนของคุณในขณะที่ธุรกิจของคุณเติบโต ผลิตภัณฑ์ที่ผลิตทั้งหมดมีพื้นผิวเรียบไม่มีรอยแยกซึ่งป้องกันการเจริญเติบโตของแบคทีเรียและอำนวยความสะดวกในการฆ่าเชื้ออย่างทั่วถึง</p>
<br><br> <p style=""margin-bottom: 26px; font-size: 16px; font-weight: 500; line-height: 24px;"">ข้อมูลจำเพาะทางเทคนิคทั่วไป</p>
<li>วัสดุ: สแตนเลสสตีลเกรดอาหาร 304 (SS304) การผลิต</li>
<li>ความหนา: มีให้เลือกหลายขนาด (มาตรฐาน 1.0 มม. - 2.0 มม.)</li>
<li>การตกแต่ง: มีตัวเลือกการตกแต่งแบบขัดเงาหรือแบบขัดเงา</li>
<li>การเชื่อม: ข้อต่อเชื่อม TIG พร้อมการตกแต่งแบบเรียบ</li>
<li>การรองรับ: โครงเสริมและขาปรับระดับได้</li>
<li>การประกอบ: มีการออกแบบแบบน็อคดาวน์สำหรับโต๊ะทำงาน</li>
<li>การปรับแต่ง: ขนาดและการกำหนดค่าที่ปรับแต่งได้อย่างเต็มที่</li>
<li>อุปกรณ์เสริม: แผ่นกันกระเซ็นเสริม ชั้นวางใต้โต๊ะและลิ้นชัก</li>
<li>ความจุในการรับน้ำหนัก: ออกแบบมาเพื่อรองรับการใช้งานเชิงพาณิชย์หนัก</li>
<li>การปฏิบัติตาม: เป็นไปตามมาตรฐาน NSF และความปลอดภัยด้านอาหาร</li>",อ่างล้าง - ย400xก400xล300 - ไม่มีรู - SS304
NTS1-SINK404030-M,"<p>ผลิตภัณฑ์ NTS Stainless Steel Fabrication เป็นโซลูชันที่ออกแบบขึ้นเป็นพิเศษเพื่อตอบสนองความต้องการเฉพาะของห้องครัวระดับมืออาชีพ ร้านอาหาร โรงแรม และสิ่งอำนวยความสะดวกด้านการแปรรูปอาหาร
ผลิตภัณฑ์สั่งทำเหล่านี้ผสมผสานงานฝีมืออันยอดเยี่ยมเข้ากับสเตนเลสเกรดอาหารระดับพรีเมียม เพื่อมอบอุปกรณ์ที่เหมาะกับพื้นที่และความต้องการในการดำเนินงานของคุณอย่างสมบูรณ์แบบ
โครงการผลิตแต่ละโครงการต้องผ่านการควบคุมคุณภาพอย่างเข้มงวดเพื่อให้แน่ใจว่ามีขนาดที่แม่นยำ การเชื่อมที่ไร้ที่ติ และการตกแต่งที่ไร้ที่ติซึ่งตรงตามมาตรฐานความปลอดภัยด้านอาหารระดับสากล
ช่างฝีมือที่มีประสบการณ์ของเราทำงานอย่างใกล้ชิดกับลูกค้าเพื่อเปลี่ยนแนวคิดให้กลายเป็นอุปกรณ์ที่ใช้งานได้จริงและทนทานซึ่งช่วยเพิ่มประสิทธิภาพการทำงานและรักษามาตรฐานด้านสุขอนามัยสูงสุด
การใช้สเตนเลสเกรด 304 ช่วยให้ทนทานต่อการกัดกร่อนเป็นพิเศษ ทำความสะอาดง่าย และใช้งานได้ยาวนานในสภาพแวดล้อมเชิงพาณิชย์ที่มีความต้องการสูง
ตั้งแต่โต๊ะทำงานแบบกำหนดเองไปจนถึงอ่างล้างจานเฉพาะ เครื่องดูดควัน และโซลูชันการจัดเก็บ ผลิตภัณฑ์ทุกชิ้นได้รับการปรับแต่งให้ตรงตามข้อกำหนดที่แน่นอนในขณะที่ยังคงความสมบูรณ์ของโครงสร้างและความสวยงาม
โต๊ะทำงานของเรามีการออกแบบแบบถอดประกอบได้เพื่อให้ขนส่งและติดตั้งง่าย ลดต้นทุนการจัดส่ง และทำให้การประกอบในสถานที่ง่ายขึ้น
แนวทางการออกแบบแบบโมดูลาร์ช่วยให้สามารถปรับเปลี่ยนและขยายได้ในอนาคต ช่วยปกป้องการลงทุนของคุณในขณะที่ธุรกิจของคุณเติบโต ผลิตภัณฑ์ที่ผลิตทั้งหมดมีพื้นผิวเรียบไม่มีรอยแยกซึ่งป้องกันการเจริญเติบโตของแบคทีเรียและอำนวยความสะดวกในการฆ่าเชื้ออย่างทั่วถึง</p>
<br><br> <p style=""margin-bottom: 26px; font-size: 16px; font-weight: 500; line-height: 24px;"">ข้อมูลจำเพาะทางเทคนิคทั่วไป</p>
<li>วัสดุ: สแตนเลสสตีลเกรดอาหาร 304 (SS304) การผลิต</li>
<li>ความหนา: มีให้เลือกหลายขนาด (มาตรฐาน 1.0 มม. - 2.0 มม.)</li>
<li>การตกแต่ง: มีตัวเลือกการตกแต่งแบบขัดเงาหรือแบบขัดเงา</li>
<li>การเชื่อม: ข้อต่อเชื่อม TIG พร้อมการตกแต่งแบบเรียบ</li>
<li>การรองรับ: โครงเสริมและขาปรับระดับได้</li>
<li>การประกอบ: มีการออกแบบแบบน็อคดาวน์สำหรับโต๊ะทำงาน</li>
<li>การปรับแต่ง: ขนาดและการกำหนดค่าที่ปรับแต่งได้อย่างเต็มที่</li>
<li>อุปกรณ์เสริม: แผ่นกันกระเซ็นเสริม ชั้นวางใต้โต๊ะและลิ้นชัก</li>
<li>ความจุในการรับน้ำหนัก: ออกแบบมาเพื่อรองรับการใช้งานเชิงพาณิชย์หนัก</li>
<li>การปฏิบัติตาม: เป็นไปตามมาตรฐาน NSF และความปลอดภัยด้านอาหาร</li>",อ่างล้าง - ย400xก400xล300 - รูระบายกลาง - SS304
