GID,specs.width_mm,specs.depth_mm,specs.height_mm,specs.weight_kg,specs.voltage,specs.hz,specs.wattage,specs.ampere,specs.chiller_door_amount,specs.chiller_capacity_liter,specs.chiller_temperature,specs.refrigerant,specs.spareparts_warranty,specs.service_warranty,specs.product_of,specs.certificates
test1,500,600,2000,120,220,50,2200,10,2,500,-2 to 8,R134a,1 Year,2 Year,Thailand,CE
gid://shopify/Product/8645537104071,698,762,903,85,220,50,314,2.8,1,184,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645671518407,1200,335,225,25,220,50,150,1.1,,1,0°C~7°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645671551175,1500,335,225,30,220,50,150,1.1,,1,0°C~7°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645542609095,325,176,150,,,,,,,,,,,,,
gid://shopify/Product/8646060179655,640,905,1926,95,220,50,660,4.5,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645722046663,640,905,1926,95,220,50,660,4.5,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646060212423,640,905,1926,95,220,50,660,4.5,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645527929031,640,850,1926,80,220,50,496,3.5,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646060114119,640,850,1926,80,220,50,496,3.5,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646060146887,640,850,1926,80,220,50,496,3.5,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645527994567,640,905,1926,95,220,50,660,4.5,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646060343495,640,905,1926,95,220,50,660,4.5,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646060376263,640,905,1926,95,220,50,660,4.5,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646060277959,640,850,1926,80,220,50,496,3.5,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645722079431,640,850,1926,80,220,50,496,3.5,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645722112199,640,850,1926,80,220,50,496,3.5,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645528027335,640,860,1926,77,220,50,496,3.5,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646060310727,640,850,1926,80,220,50,496,3.5,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646060507335,1260,905,1926,95,220,50,660,8,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645721751751,1260,905,1926,95,220,50,660,8,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646060540103,1260,905,1926,95,220,50,660,8,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646060409031,1260,850,1926,142,220,50,774,5.3,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645722144967,1260,850,1926,142,220,50,774,5.3,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646060474567,1260,850,1926,142,220,50,774,5.3,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646060638407,1260,905,1926,170,220,50,976,8,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645722177735,1260,905,1926,170,220,50,976,8,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646060703943,1260,905,1926,170,220,50,976,8,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645528125639,1260,850,1926,142,220,50,774,5.3,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646060572871,1260,850,1926,142,220,50,774,5.3,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645722210503,1260,850,1926,142,220,50,774,5.3,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645528158407,1260,860,1926,142,220,50,774,5.3,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646060605639,1260,850,1926,142,220,50,774,5.3,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645881757895,1260,850,1926,142,220,50,774,5.3,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646060736711,1900,850,1926,167,220,50,1346,8.5,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646060802247,1900,850,1926,167,220,50,1346,8.5,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646060867783,1900,850,1926,167,220,50,1346,8.5,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646060933319,1900,850,1926,167,220,50,1346,8.5,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646060966087,1900,850,1926,167,220,50,1346,8.5,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646060998855,1900,850,1926,167,220,50,1346,8.5,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646061031623,1200,750,800,96,220,50,314,2.5,2,314,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645472583879,1200,750,800,96,220,50,314,2.5,2,314,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646061097159,1200,750,800,96,220,50,314,2.5,2,314,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646061129927,1500,750,800,110,220,50,314,2.5,2,425,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646061162695,1500,750,800,110,220,50,314,2.5,2,425,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646061195463,1500,750,800,110,220,50,314,2.5,2,425,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646061228231,1800,750,800,127,220,50,366,3,3,538,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646061293767,1800,750,800,127,220,50,366,3,3,538,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645721981127,1800,750,800,127,220,50,366,3,3,538,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646061326535,900,750,800,80,220,50,314,2.3,1,198,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645528322247,900,750,800,80,220,50,314,2.3,1,198,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646061359303,900,750,800,80,220,50,314,2.3,1,198,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646061424839,1200,750,978,89,220,50,314,2.5,2,309,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645528355015,1200,700,978,89,220,50,314,2.5,2,309,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646061457607,1200,750,978,89,220,50,314,2.5,2,309,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646061490375,1200,750,978,89,220,50,314,2.5,2,309,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646061555911,1500,750,978,100,220,50,314,2.5,2,420,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646061588679,1500,750,978,100,220,50,314,2.5,2,420,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646061621447,1500,750,978,100,220,50,314,2.5,2,420,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646061686983,1800,750,978,120,220,50,366,3,3,516,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646061719751,1800,750,978,120,220,50,366,3,3,516,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645502795975,1800,750,978,120,220,50,366,3,3,516,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646061752519,900,750,978,75,220,50,314,2.3,1,213,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646061785287,900,750,978,75,220,50,314,2.3,1,213,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
