sku,GID,specs.width_mm,specs.depth_mm,specs.height_mm,specs.chiller_temperature,specs.freezer_temperature,specs.chiller_door_amount,specs.freezer_door_amount,specs.drawer_amount,specs.chiller_capacity_liter,specs.freezer_capacity_volume,specs.refrigerant,specs.voltage,specs.hz,specs.wattage,specs.ampere,specs.weight_kg,specs.packing_width,specs.packing_length_mm,specs.packing_height_mm,specs.packing_weight_kg,specs.made_in,specs.spareparts_warranty,specs.compressor_warranty,specs.service_warranty,specs.certificates
BER1-1D-DC-BBH-1,gid://shopify/Product/8645935431879,635,730,2060,+2 to +8°C,,1,,,400,,R134A,220-240,50,440,2.6,97,735,830,2160,123.3,Malaysia,1 Year,2 Years,1 Year,"CE, ROHS, IEC, SIRIM"
BER1-1D-DC-S,gid://shopify/Product/8645482840263,635,730,2060,+2 to +5°C,,1,,,444,,R134A,220-240,50,770,4.7,95,735,830,2160,121.3,Malaysia,1 Year,2 Years,1 Year,"CE, ROHS, IEC, SIRIM"
BER1-1D-DC-SM,gid://shopify/Product/8645935464647,635,730,2060,+1 to +6°C,,1,,,400,,R134A,220-240,50,404,2.6,95,735,830,2160,121.3,Malaysia,1 Year,2 Years,1 Year,"CE, ROHS, IEC, SIRIM"
BER1-1D-DF-S-EV,gid://shopify/Product/8645700387015,635,730,2060,,-20 to -14°C,,1,,,400 Liter,R404A,230,50,946,4.3,113,735,830,2160,139.3,Malaysia,1 Year,2 Years,1 Year,"CE, ROHS, IEC, SIRIM"
BER1-2D-DF-S-EV,gid://shopify/Product/8645935497415,1260,730,2060,,-20 to -14°C,,2,,,876 Liter,R404A,230,50,1561,6.9,199,1360,830,2160,225.3,Malaysia,1 Year,2 Years,1 Year,"CE, ROHS, IEC, SIRIM"
BER1-2D-DF-SM-EV,gid://shopify/Product/8645935530183,1260,730,2060,,-20 to -14°C,,2,,,876 Liter,R404A,230,50,1561,6.9,199,1360,830,2160,225.3,Malaysia,1 Year,2 Years,1 Year,"CE, ROHS, IEC, SIRIM"
BER1-3D-DC-BH-1-G,gid://shopify/Product/8645935562951,1880,730,2060,+2 to +8°C,,3,,,1507,,R134A,220-240,50,820,4.36,215,1980,830,2160,241.3,Malaysia,1 Year,2 Years,1 Year,"CE, ROHS, IEC, SIRIM"
BER1-3D-DC-S-50HZ,gid://shopify/Product/8645482873031,1885,730,2085,+2 to +5°C,,3,,,1694,,R134A,220-240,50,1190,7.5,209,1985,830,2185,235.3,Malaysia,1 Year,2 Years,1 Year,"CE, ROHS, IEC, SIRIM"
BER1-3D-DC-SM,gid://shopify/Product/8645935595719,1880,730,2060,+1 to +6°C,,3,,,1351,,R134A,220-240,50,989,5.3,209,1980,830,2160,235.3,Malaysia,1 Year,2 Years,1 Year,"CE, ROHS, IEC, SIRIM"
BER1-B2D-C4-BL,gid://shopify/Product/8645935628487,1200,770,990,+1°C to +6°C,,2,,,263,,R134A,230,50,353,2.06,97,1300,870,1090,123.3,Malaysia,1 Year,2 Years,1 Year,"CE, ROHS, IEC, SIRIM"
