,GID,custom.compatible_with,specs.cutting_size,specs.material,specs.installation,specs.type_of_cut,specs.safety_features,specs.made_in
,gid://shopify/Product/8661114945735,1,1,1,1,1,1,1
ROE1-107812,gid://shopify/Product/8645512888519,,,Stainless steel 304,4-point wall mounting,,Load tested 25kg,France
ROE1-1904,gid://shopify/Product/8645512855751,"R 211 XL, R 211 XL Ultra, R 301, R 301 Ultra, R 401, R 402, R 402 V.Y., CL 20",2mm/4mm,Stainless steel 304,Direct machine mount,,Auto-alignment,France
ROE1-1933,gid://shopify/Product/8645512560839,"R502-752, CL50-60",,Stainless steel 304,,,Auto-lock system,France
ROE1-1933W,gid://shopify/Product/8645527077063,"R502-752, CL50-60",2mm-14mm,Mineral,,,Auto-lock system,France
ROE1-1942,gid://shopify/Product/8644776657095,CL Series,,Stainless steel 304,Direct mount,Cultural cuts,Safety interlock,France
ROE1-1946,gid://shopify/Product/8645512921287,"R 211 XL, R 211 XL Ultra, R 301, R 301 Ultra, R 401, R 402, R 402 V.Y., CL 20",Standard,Stainless steel 304,Quick-mount,Basic cuts,Basic interlock,France
ROE1-2023,gid://shopify/Product/8645527109831,CL Series,Multiple,Stainless steel 304,Direct fit,Specialty cuts,Safety lock,France
ROE1-2023W,gid://shopify/Product/8645512659143,CL Series,Multiple,Mineral,Direct fit,Enhanced cuts,Auto-secure,France
ROE1-27046,gid://shopify/Product/8645660082375,CL20-R402,6mm holes,Stainless steel 304,Quick-release,Grating,Single lock,France
ROE1-27047,gid://shopify/Product/8643029631175,CL20-R402,4x4mm,Stainless steel 304,Quick-release,Julienne,Quick lock,France
ROE1-27048,gid://shopify/Product/8643029663943,CL20-R402,8x8mm,Stainless steel 304,Quick-release,Julienne,Safety fit,France
ROE1-27051,gid://shopify/Product/8645660016839,CL20-R402,1mm,Stainless steel 304,Quick-release,Slicing,Secure mount,France
ROE1-27066,gid://shopify/Product/8645662539975,CL20-R402,2x6mm,Stainless steel 304,Direct mount,Julienne,Quick secure,France
ROE1-27067,gid://shopify/Product/8645662507207,CL20-R402,2x8mm,Stainless steel 304,Direct mount,Julienne,Safety lock,France
ROE1-27068,gid://shopify/Product/8645662474439,CL20-R402,2mm wave,Stainless steel 304,Quick-release,Ripple,Secure mount,France
