GoodID,GoodCode,Inventory quantity,Product GID,Variant GID,Inventory Item ID
241498,NTS1-KT-78B,0,gid://shopify/Product/8645865144519,gid://shopify/ProductVariant/46282242359495,gid://shopify/InventoryItem/48402687361223
241503,NTS1-WKF-115S,0,gid://shopify/Product/8644614226119,gid://shopify/ProductVariant/46277642780871,gid://shopify/InventoryItem/48398030733511
241509,NTS1-GPX-110N(03),0,gid://shopify/Product/8644603019463,gid://shopify/ProductVariant/46277631541447,gid://shopify/InventoryItem/48398019494087
241510,NTS1-KT-163,0,gid://shopify/Product/8644604199111,gid://shopify/ProductVariant/46277632688327,gid://shopify/InventoryItem/48398020640967
241539,NTS1-T2.111MP,0,gid://shopify/Product/8646018236615,gid://shopify/ProductVariant/46282653728967,gid://shopify/InventoryItem/48403100303559
241543,NTS1-T2.211MP,0,gid://shopify/Product/8646018334919,gid://shopify/ProductVariant/46282653991111,gid://shopify/InventoryItem/48403100565703
241563,NTS1-T7.111MP,0,gid://shopify/Product/8646018662599,gid://shopify/ProductVariant/46282654318791,gid://shopify/InventoryItem/48403100893383
241576,NTS1-DO14W-B,0,gid://shopify/Product/8642995224775,gid://shopify/ProductVariant/46272835551431,gid://shopify/InventoryItem/48393200074951
241589,NTS1-MATIRX-05,0,gid://shopify/Product/8644606656711,gid://shopify/ProductVariant/46277635178695,gid://shopify/InventoryItem/48398023131335
241676,NTS1-MATIRX-01,0,gid://shopify/Product/8644606427335,gid://shopify/ProductVariant/46277634949319,gid://shopify/InventoryItem/48398022901959
241722,NTS1-HH2010N-DW,0,gid://shopify/Product/8644603248839,gid://shopify/ProductVariant/46277631770823,gid://shopify/InventoryItem/48398019723463
241725,NTS1-HH2010T-DW,0,gid://shopify/Product/8645975212231,gid://shopify/ProductVariant/46282561978567,gid://shopify/InventoryItem/48403008356551
241726,NTS1-HH2010R-DW,0,gid://shopify/Product/8644603412679,gid://shopify/ProductVariant/46277631934663,gid://shopify/InventoryItem/48398019887303
241727,NTS1-HH2010W-DW,0,gid://shopify/Product/8645975244999,gid://shopify/ProductVariant/46282562011335,gid://shopify/InventoryItem/48403008389319
241729,NTS1-HH2010Y-DW,0,gid://shopify/Product/8645975310535,gid://shopify/ProductVariant/46282562633927,gid://shopify/InventoryItem/48403009011911
241750,NTS1-GPX-45M(031),0,gid://shopify/Product/8644603084999,gid://shopify/ProductVariant/46277631639751,gid://shopify/InventoryItem/48398019592391
241807,NTS1-GPX-87,0,gid://shopify/Product/8645975081159,gid://shopify/ProductVariant/46282561847495,gid://shopify/InventoryItem/48403008225479
241837,NTS1-96.1416AJ,0,gid://shopify/Product/8645964988615,gid://shopify/ProductVariant/46282533601479,gid://shopify/InventoryItem/48402979487943
241838,NTS1-96.1416HRR,0,gid://shopify/Product/8645965054151,gid://shopify/ProductVariant/46282533667015,gid://shopify/InventoryItem/48402979553479
241840,NTS1-96.1416HF,0,gid://shopify/Product/8645965021383,gid://shopify/ProductVariant/46282533634247,gid://shopify/InventoryItem/48402979520711
241844,NTS1-KNB5051,0,gid://shopify/Product/8645977637063,gid://shopify/ProductVariant/46282566828231,gid://shopify/InventoryItem/48403013206215
241860,NTS1-94.1103BK,0,gid://shopify/Product/8644599578823,gid://shopify/ProductVariant/46277628199111,gid://shopify/InventoryItem/48398016053447
241861,NTS1-94.1200BK,0,gid://shopify/Product/8645964923079,gid://shopify/ProductVariant/46282533535943,gid://shopify/InventoryItem/48402979422407
241862,NTS1-L5.PC132BK,0,gid://shopify/Product/8644604461255,gid://shopify/ProductVariant/46277632950471,gid://shopify/InventoryItem/48398020903111
