product_gid,status
gid://shopify/Product/8661114945735,QUEUED
gid://shopify/Product/8645528649927,QUEUED
gid://shopify/Product/8645963808967,QUEUED
gid://shopify/Product/8645501124807,QUEUED
gid://shopify/Product/8646050840775,QUEUED
gid://shopify/Product/8645498208455,QUEUED
gid://shopify/Product/8644761452743,QUEUED
gid://shopify/Product/8644761977031,QUEUED
gid://shopify/Product/8645483528391,QUEUED
gid://shopify/Product/8645483495623,QUEUED
NTS1-SINK454530-AMO,NOT_FOUND
gid://shopify/Product/8642970583239,QUEUED
gid://shopify/Product/8642970616007,QUEUED
gid://shopify/Product/8642970648775,QUEUED
gid://shopify/Product/8642970681543,QUEUED
gid://shopify/Product/8642970714311,QUEUED
gid://shopify/Product/8642970747079,QUEUED
gid://shopify/Product/8645504073927,QUEUED
gid://shopify/Product/8645504237767,QUEUED
gid://shopify/Product/8645504270535,QUEUED
gid://shopify/Product/8645937201351,QUEUED
gid://shopify/Product/8645937234119,QUEUED
gid://shopify/Product/8645500534983,QUEUED
gid://shopify/Product/8645500567751,QUEUED
gid://shopify/Product/8645500797127,QUEUED
gid://shopify/Product/8644511826119,QUEUED
gid://shopify/Product/8645956174023,QUEUED
gid://shopify/Product/8644667572423,QUEUED
gid://shopify/Product/8642970845383,QUEUED
gid://shopify/Product/8645956239559,QUEUED
gid://shopify/Product/8645956337863,QUEUED
gid://shopify/Product/8642970943687,QUEUED
gid://shopify/Product/8642971009223,QUEUED
gid://shopify/Product/8642971107527,QUEUED
gid://shopify/Product/8644691198151,QUEUED
gid://shopify/Product/8642971140295,QUEUED
gid://shopify/Product/8645956534471,QUEUED
gid://shopify/Product/8645956567239,QUEUED
gid://shopify/Product/8645956698311,QUEUED
gid://shopify/Product/8645956829383,QUEUED
gid://shopify/Product/8642971271367,QUEUED
gid://shopify/Product/8645956894919,QUEUED
gid://shopify/Product/8642971369671,QUEUED
gid://shopify/Product/8644512121031,QUEUED
gid://shopify/Product/8642971435207,QUEUED
gid://shopify/Product/8642971467975,QUEUED
gid://shopify/Product/8642971500743,QUEUED
gid://shopify/Product/8642971533511,QUEUED
gid://shopify/Product/8642971566279,QUEUED
gid://shopify/Product/8642971599047,QUEUED
gid://shopify/Product/8642971631815,QUEUED
gid://shopify/Product/8642971664583,QUEUED
gid://shopify/Product/8642971697351,QUEUED
gid://shopify/Product/8642971730119,QUEUED
gid://shopify/Product/8642971762887,QUEUED
gid://shopify/Product/8642971795655,QUEUED
gid://shopify/Product/8642971828423,QUEUED
gid://shopify/Product/8642971861191,QUEUED
gid://shopify/Product/8642971893959,QUEUED
gid://shopify/Product/8642971926727,QUEUED
gid://shopify/Product/8644786192583,QUEUED
gid://shopify/Product/8642971959495,QUEUED
gid://shopify/Product/8642971992263,QUEUED
gid://shopify/Product/8642972025031,QUEUED
gid://shopify/Product/8642972057799,QUEUED
gid://shopify/Product/8642972090567,QUEUED
gid://shopify/Product/8644512153799,QUEUED
gid://shopify/Product/8642972123335,QUEUED
gid://shopify/Product/8642972156103,QUEUED
gid://shopify/Product/8642972188871,QUEUED
gid://shopify/Product/8642972221639,QUEUED
gid://shopify/Product/8642972254407,QUEUED
