Menu Handle,Menu Item Title,Menu Item Type,Menu Item URL,Parent Menu Item Title
main-menu,Home,http,/,
main-menu,Catalogue,http,/,
main-menu,Brand,http,/,
main-menu,Category Product,http,/,
main-menu,Category Spare Parts,http,/,
main-menu,Blog,http,/,
main-menu,Cooking Equipment,collection,/collections/cooking-equipment,Category Product
main-menu,Food Preparation,collection,/collections/food-preparation,Category Product
main-menu,Refrigeration Equipment,collection,/collections/refrigeration-equipment,Category Product
main-menu,Commercial Ovens,collection,/collections/commercial-ovens,Category Product
main-menu,Bakery Equipment,collection,/collections/bakery-equipment,Category Product
main-menu,Warming Equipment,collection,/collections/warming-equipment,Category Product
main-menu,Beverage Equipment,collection,/collections/beverage-equipment,Category Product
main-menu,Stainless Steel Fabrication,collection,/collections/stainless-steel-fabrication,Category Product
main-menu,Warewashing & Sanitisation,collection,/collections/warewashing-sanitisation,Category Product
main-menu,Storage & Transport,collection,/collections/storage-transport,Category Product
main-menu,Smallwares,collection,/collections/smallwares,Category Product
main-menu,Bakery Utensils,collection,/collections/bakery-utensils,Category Product
main-menu,Tableware & Buffetware,collection,/collections/tableware-buffetware,Category Product
main-menu,Janitorial Supplies,collection,/collections/janitorial-supplies,Category Product
main-menu,Hotel Supplies,collection,/collections/hotel-supplies,Category Product
main-menu,Furniture & Seating,collection,/collections/furniture-seating,Category Product
main-menu,Disposables,collection,/collections/disposables,Category Product
main-menu,Consumables & Service Parts,collection,/collections/consumables-service-parts,Category Spare Parts
main-menu,Control Boards & Sensors,collection,/collections/control-boards-sensors,Category Spare Parts
main-menu,Electrical & Electronic Components,collection,/collections/electrical-electronic-components,Category Spare Parts
main-menu,"Heating, Ignition & Gas Parts",collection,/collections/heating-ignition-gas-parts,Category Spare Parts
main-menu,Mechanical & Mounting Hardware,collection,/collections/mechanical-mounting-hardware,Category Spare Parts
main-menu,"Motors, Fans & Actuators",collection,/collections/motors-fans-actuators,Category Spare Parts
main-menu,"Pumps, Compressors & Fluid Systems",collection,/collections/pumps-compressors-fluid-systems,Category Spare Parts
main-menu,Safety & Protection Devices,collection,/collections/safety-protection-devices,Category Spare Parts
main-menu,"Storage, Handling & Mobility",collection,/collections/storage-handling-mobility,Category Spare Parts
main-menu,Structural & Access Components,collection,/collections/structural-access-components,Category Spare Parts
main-menu,Bread Slicers,collection,/collections/bread-slicers,Bakery Equipment
main-menu,Automatic Cooking Machines,collection,/collections/automatic-cooking-machines,Cooking Equipment
main-menu,Boiling Pans & Tilting Kettles,collection,/collections/boiling-pans-tilting-kettles,Cooking Equipment
main-menu,Cooking Ranges,collection,/collections/cooking-ranges,Cooking Equipment
main-menu,Commercial Grills,collection,/collections/commercial-grills,Cooking Equipment
main-menu,Charcoal Cooking Equipment,collection,/collections/charcoal-cooking-equipment,Cooking Equipment
main-menu,Commercial Exhaust Hood,collection,/collections/commercial-exhaust-hood,Cooking Equipment
main-menu,Commercial Fryers,collection,/collections/commercial-fryers,Cooking Equipment
main-menu,Egg Boilers,collection,/collections/egg-boilers,Cooking Equipment
main-menu,Kebab Machines,collection,/collections/kebab-machines,Cooking Equipment
main-menu,Roasters & Rotisseries,collection,/collections/roasters-rotisseries,Cooking Equipment
main-menu,Pasta & Noodle Cookers,collection,/collections/pasta-noodle-cookers,Cooking Equipment
main-menu,Sous Vide Circulators,collection,/collections/sous-vide-circulators,Cooking Equipment
main-menu,Rice Cookers,collection,/collections/rice-cookers,Cooking Equipment
main-menu,Steamers,collection,/collections/steamers,Cooking Equipment
main-menu,Outdoor Cooking Equipment,collection,/collections/outdoor-cooking-equipment,Cooking Equipment
main-menu,Smoke Machines,collection,/collections/smoke-machines,Cooking Equipment
main-menu,Oden Cooker,collection,/collections/oden-cooker,Cooking Equipment
main-menu,Automatic Sieve Machines,collection,/collections/automatic-sieve-machines,Food Preparation
main-menu,Commercial Food Processors,collection,/collections/commercial-food-processors,Food Preparation
main-menu,Can Openers & Can Crushers,collection,/collections/can-openers-can-crushers,Food Preparation
main-menu,Food Blenders,collection,/collections/food-blenders,Food Preparation
main-menu,Food Dehydrators,collection,/collections/food-dehydrators,Food Preparation
main-menu,Grinders & Graters,collection,/collections/grinders-graters,Food Preparation
main-menu,Immersion Blender,collection,/collections/immersion-blender,Food Preparation
main-menu,Meat Processing Equipment,collection,/collections/meat-processing-equipment,Food Preparation
main-menu,Milling Machines,collection,/collections/milling-machines,Food Preparation
main-menu,Pacojet,collection,/collections/pacojet,Food Preparation
main-menu,Pasta Machines,collection,/collections/pasta-machines,Food Preparation
main-menu,Vegetable Cutter Equipment,collection,/collections/vegetable-cutter-equipment,Food Preparation
main-menu,Vacuum Sealers,collection,/collections/vacuum-sealers,Food Preparation
main-menu,Undercounter Refrigeration,collection,/collections/undercounter-refrigeration,Refrigeration Equipment
main-menu,Upright Refrigeration,collection,/collections/upright-refrigeration,Refrigeration Equipment
main-menu,Drawer Refrigeration,collection,/collections/drawer-refrigeration,Refrigeration Equipment
main-menu,Preparation Refrigeration,collection,/collections/preparation-refrigeration,Refrigeration Equipment
main-menu,Chef Bases,collection,/collections/chef-bases,Refrigeration Equipment
main-menu,Chest Freezers,collection,/collections/chest-freezers,Refrigeration Equipment
main-menu,Display Refrigeration,collection,/collections/display-refrigeration,Refrigeration Equipment
main-menu,Blast Chillers & Freezers,collection,/collections/blast-chillers-freezers,Refrigeration Equipment
main-menu,Gelato & Ice Cream Showcases,collection,/collections/gelato-ice-cream-showcases,Refrigeration Equipment
main-menu,Ice Machines,collection,/collections/ice-machines,Refrigeration Equipment
main-menu,Walk-in Refrigeration,collection,/collections/walk-in-refrigeration,Refrigeration Equipment
main-menu,Drop-In Cold Wells,collection,/collections/drop-in-cold-wells,Refrigeration Equipment
main-menu,Drying Refrigeration,collection,/collections/drying-refrigeration,Refrigeration Equipment
main-menu,Wine Refrigeration,collection,/collections/wine-refrigeration,Refrigeration Equipment
