Parent Menu Item Title,Menu Item Title,Menu Item Type,Menu Item URL
,Home,HTTP,/
,Catalogue,HTTP,/
,Brand,HTTP,/
,Category Product,HTTP,/
Category Product,Cooking Equipment,COLLECTION,/collections/cooking-equipment
Cooking Equipment,Automatic Cooking Machines,COLLECTION,/collections/automatic-cooking-machines
Cooking Equipment,Boiling Pans & Tilting Kettles,COLLECTION,/collections/boiling-pans-tilting-kettles
Cooking Equipment,Cooking Ranges,COLLECTION,/collections/cooking-ranges
Cooking Equipment,Commercial Grills,COLLECTION,/collections/commercial-grills
Cooking Equipment,Charcoal Cooking Equipment,COLLECTION,/collections/charcoal-cooking-equipment
Cooking Equipment,Commercial Exhaust Hood,COLLECTION,/collections/commercial-exhaust-hood
Cooking Equipment,Commercial Fryers,COLLECTION,/collections/commercial-fryers
Cooking Equipment,Egg Boilers,COLLECTION,/collections/egg-boilers
Cooking Equipment,Kebab Machines,COLLECTION,/collections/kebab-machines
Cooking Equipment,Roasters & Rotisseries,COLLECTION,/collections/roasters-rotisseries
Cooking Equipment,Pasta & Noodle Cookers,COLLECTION,/collections/pasta-noodle-cookers
Cooking Equipment,Sous Vide Circulators,COLLECTION,/collections/sous-vide-circulators
Cooking Equipment,Rice Cookers,COLLECTION,/collections/rice-cookers
Cooking Equipment,Steamers,COLLECTION,/collections/steamers
Cooking Equipment,Outdoor Cooking Equipment,COLLECTION,/collections/outdoor-cooking-equipment
Cooking Equipment,Smoke Machines,COLLECTION,/collections/smoke-machines
Cooking Equipment,Oden Cooker,COLLECTION,/collections/oden-cooker
Category Product,Food Preparation,COLLECTION,/collections/food-preparation
Food Preparation,Automatic Sieve Machines,COLLECTION,/collections/automatic-sieve-machines
Food Preparation,Commercial Food Processors,COLLECTION,/collections/commercial-food-processors
Food Preparation,Can Openers & Can Crushers,COLLECTION,/collections/can-openers-can-crushers
Food Preparation,Food Blenders,COLLECTION,/collections/food-blenders
Food Preparation,Food Dehydrators,COLLECTION,/collections/food-dehydrators
Food Preparation,Grinders & Graters,COLLECTION,/collections/grinders-graters
Food Preparation,Immersion Blender,COLLECTION,/collections/immersion-blender
Food Preparation,Meat Processing Equipment,COLLECTION,/collections/meat-processing-equipment
Food Preparation,Milling Machines,COLLECTION,/collections/milling-machines
Food Preparation,Pacojet,COLLECTION,/collections/pacojet
Food Preparation,Pasta Machines,COLLECTION,/collections/pasta-machines
Food Preparation,Vegetable Cutter Equipment,COLLECTION,/collections/vegetable-cutter-equipment
Food Preparation,Vacuum Sealers,COLLECTION,/collections/vacuum-sealers
Category Product,Refrigeration Equipment,COLLECTION,/collections/refrigeration-equipment
Refrigeration Equipment,Undercounter Refrigeration,COLLECTION,/collections/undercounter-refrigeration
Refrigeration Equipment,Upright Refrigeration,COLLECTION,/collections/upright-refrigeration
Refrigeration Equipment,Drawer Refrigeration,COLLECTION,/collections/drawer-refrigeration
Refrigeration Equipment,Preparation Refrigeration,COLLECTION,/collections/preparation-refrigeration
