Menu Handle,Menu Item Title,Menu Item Type,Menu Item URL,Parent Menu Item Title
main-menu,test main 2,http,/,
main-menu,Bakery Equipment 2,collection,/,test main 2
main-menu,Bread Slicers 2,collection,https://sevenfive-4062.myshopify.com/collections/bread-slicers,Bakery Equipment 2
main-menu,Home,http,/,
main-menu,Catalogue,http,/,
main-menu,Blogs,http,/,
main-menu,Brand,http,/,
main-menu,Category Product,http,/,
main-menu,Category Spare Parts,http,/,
main-menu,Blog,http,/,
main-menu,,,,
main-menu,,,,
main-menu,,,,
main-menu,,,,
main-menu,,,,
main-menu,,,,
main-menu,,,,
main-menu,,,,
main-menu,,,,
main-menu,,,,
main-menu,,,,
main-menu,,,,
main-menu,,,,
main-menu,,,,
main-menu,,,,
