Menu Handle,Menu Item Title,Menu Item Type,Menu Item URL,Parent Menu Item Title
main-menu,Consumables & Service Parts,collection,/collections/consumables-service-parts,Category Spare Parts
main-menu,Control Boards & Sensors,collection,/collections/control-boards-sensors,Category Spare Parts
main-menu,Electrical & Electronic Components,collection,/collections/electrical-electronic-components,Category Spare Parts
main-menu,"Heating, Ignition & Gas Parts",collection,/collections/heating-ignition-gas-parts,Category Spare Parts
main-menu,Mechanical & Mounting Hardware,collection,/collections/mechanical-mounting-hardware,Category Spare Parts
main-menu,"Motors, Fans & Actuators",collection,/collections/motors-fans-actuators,Category Spare Parts
main-menu,"Pumps, Compressors & Fluid Systems",collection,/collections/pumps-compressors-fluid-systems,Category Spare Parts
main-menu,Safety & Protection Devices,collection,/collections/safety-protection-devices,Category Spare Parts
main-menu,"Storage, Handling & Mobility",collection,/collections/storage-handling-mobility,Category Spare Parts
main-menu,Structural & Access Components,collection,/collections/structural-access-components,Category Spare Parts
main-menu,Bag,collection,/collections/bag,Consumables & Service Parts
main-menu,Brush,collection,/collections/brush,Consumables & Service Parts
main-menu,Cable Tie,collection,/collections/cable-tie,Consumables & Service Parts
main-menu,Ceramic,collection,/collections/ceramic,Consumables & Service Parts
main-menu,Chemical,collection,/collections/chemical,Consumables & Service Parts
main-menu,Chopping Blade,collection,/collections/chopping-blade,Consumables & Service Parts
main-menu,Cleaner,collection,/collections/cleaner,Consumables & Service Parts
main-menu,Filter,collection,/collections/filter,Consumables & Service Parts
main-menu,Gasket,collection,/collections/gasket,Consumables & Service Parts
main-menu,Glue,collection,/collections/glue,Consumables & Service Parts
main-menu,Grease,collection,/collections/grease,Consumables & Service Parts
main-menu,Lubricant,collection,/collections/lubricant,Consumables & Service Parts
main-menu,Mop,collection,/collections/mop,Consumables & Service Parts
main-menu,Oil,collection,/collections/oil,Consumables & Service Parts
main-menu,O-Ring,collection,/collections/o-ring,Consumables & Service Parts
main-menu,Packing,collection,/collections/packing,Consumables & Service Parts
main-menu,Polish,collection,/collections/polish,Consumables & Service Parts
main-menu,Rubber,collection,/collections/rubber,Consumables & Service Parts
main-menu,Scouring Pad,collection,/collections/scouring-pad,Consumables & Service Parts
main-menu,Scraper,collection,/collections/scraper,Consumables & Service Parts
main-menu,Seal,collection,/collections/seal,Consumables & Service Parts
main-menu,Service Parts,collection,/collections/service-parts,Consumables & Service Parts
main-menu,Softener,collection,/collections/softener,Consumables & Service Parts
main-menu,Spoon,collection,/collections/spoon,Consumables & Service Parts
main-menu,Sticker,collection,/collections/sticker,Consumables & Service Parts
main-menu,Stone,collection,/collections/stone,Consumables & Service Parts
main-menu,Tape,collection,/collections/tape,Consumables & Service Parts
main-menu,Teflon,collection,/collections/teflon,Consumables & Service Parts
main-menu,Whip,collection,/collections/whip,Consumables & Service Parts
main-menu,Wipe,collection,/collections/wipe,Consumables & Service Parts
main-menu,Control Panel,collection,/collections/control-panel,Control Boards & Sensors
main-menu,Controller,collection,/collections/controller,Control Boards & Sensors
main-menu,Converter,collection,/collections/converter,Control Boards & Sensors
main-menu,Display PCB,collection,/collections/display-pcb,Control Boards & Sensors
main-menu,Encoder,collection,/collections/encoder,Control Boards & Sensors
main-menu,Float Switch,collection,/collections/float-switch,Control Boards & Sensors
main-menu,Flow Meter,collection,/collections/flow-meter,Control Boards & Sensors
main-menu,Gauge,collection,/collections/gauge,Control Boards & Sensors
main-menu,Infrared Sensor,collection,/collections/infrared-sensor,Control Boards & Sensors
main-menu,Inverter,collection,/collections/inverter,Control Boards & Sensors
main-menu,Level Switch,collection,/collections/level-switch,Control Boards & Sensors
main-menu,Limit Switch,collection,/collections/limit-switch,Control Boards & Sensors
main-menu,Magnetic Sensor,collection,/collections/magnetic-sensor,Control Boards & Sensors
main-menu,Main Board,collection,/collections/main-board,Control Boards & Sensors
main-menu,Module,collection,/collections/module,Control Boards & Sensors
main-menu,PCB,collection,/collections/pcb,Control Boards & Sensors
main-menu,Photo Sensor,collection,/collections/photo-sensor,Control Boards & Sensors
main-menu,Position Sensor,collection,/collections/position-sensor,Control Boards & Sensors
main-menu,Pressure Switch,collection,/collections/pressure-switch,Control Boards & Sensors
main-menu,Probe,collection,/collections/probe,Control Boards & Sensors
main-menu,Proximity Sensor,collection,/collections/proximity-sensor,Control Boards & Sensors
main-menu,Sensor,collection,/collections/sensor,Control Boards & Sensors
main-menu,Speed Control,collection,/collections/speed-control,Control Boards & Sensors
main-menu,Temp Control,collection,/collections/temp-control,Control Boards & Sensors
main-menu,Thermocouple,collection,/collections/thermocouple,Control Boards & Sensors
main-menu,Thermometers,collection,/collections/thermometers,Control Boards & Sensors
main-menu,Thermopile,collection,/collections/thermopile,Control Boards & Sensors
main-menu,Thermostat,collection,/collections/thermostat,Control Boards & Sensors
main-menu,Timer,collection,/collections/timer,Control Boards & Sensors
main-menu,Transducer,collection,/collections/transducer,Control Boards & Sensors
main-menu,Ballast,collection,/collections/ballast,Electrical & Electronic Components
main-menu,Buzzer,collection,/collections/buzzer,Electrical & Electronic Components
main-menu,Cable,collection,/collections/cable,Electrical & Electronic Components
main-menu,Capacitor,collection,/collections/capacitor,Electrical & Electronic Components
main-menu,Coil,collection,/collections/coil,Electrical & Electronic Components
main-menu,Connector,collection,/collections/connector,Electrical & Electronic Components
main-menu,Contactor,collection,/collections/contactor,Electrical & Electronic Components
main-menu,Diode,collection,/collections/diode,Electrical & Electronic Components
main-menu,Display,collection,/collections/display,Electrical & Electronic Components
main-menu,Door Switch,collection,/collections/door-switch,Electrical & Electronic Components
main-menu,Fuse,collection,/collections/fuse,Electrical & Electronic Components
main-menu,Indicator,collection,/collections/indicator,Electrical & Electronic Components
main-menu,Inductor,collection,/collections/inductor,Electrical & Electronic Components
main-menu,Lamp,collection,/collections/lamp,Electrical & Electronic Components
main-menu,Lamp Holder,collection,/collections/lamp-holder,Electrical & Electronic Components
main-menu,Light,collection,/collections/light,Electrical & Electronic Components
main-menu,Magnet Switch,collection,/collections/magnet-switch,Electrical & Electronic Components
main-menu,Magnetron,collection,/collections/magnetron,Electrical & Electronic Components
main-menu,Plug,collection,/collections/plug,Electrical & Electronic Components
main-menu,Potentiometer,collection,/collections/potentiometer,Electrical & Electronic Components
main-menu,Power Cord,collection,/collections/power-cord,Electrical & Electronic Components
main-menu,Relay,collection,/collections/relay,Electrical & Electronic Components
main-menu,Resistor,collection,/collections/resistor,Electrical & Electronic Components
main-menu,Rocker Switch,collection,/collections/rocker-switch,Electrical & Electronic Components
main-menu,Socket,collection,/collections/socket,Electrical & Electronic Components
main-menu,Speaker,collection,/collections/speaker,Electrical & Electronic Components
main-menu,Switch,collection,/collections/switch,Electrical & Electronic Components
main-menu,Terminal,collection,/collections/terminal,Electrical & Electronic Components
main-menu,Transformer,collection,/collections/transformer,Electrical & Electronic Components
main-menu,Wire,collection,/collections/wire,Electrical & Electronic Components
main-menu,Boiler,collection,/collections/boiler,"Heating, Ignition & Gas Parts"
main-menu,Burner,collection,/collections/burner,"Heating, Ignition & Gas Parts"
main-menu,Ceramic Heater,collection,/collections/ceramic-heater,"Heating, Ignition & Gas Parts"
main-menu,Electrode,collection,/collections/electrode,"Heating, Ignition & Gas Parts"
main-menu,Flame Rod,collection,/collections/flame-rod,"Heating, Ignition & Gas Parts"
main-menu,Flame Sensor,collection,/collections/flame-sensor,"Heating, Ignition & Gas Parts"
main-menu,Gas Regulator,collection,/collections/gas-regulator,"Heating, Ignition & Gas Parts"
main-menu,Gas Tube,collection,/collections/gas-tube,"Heating, Ignition & Gas Parts"
main-menu,Gas Valve,collection,/collections/gas-valve,"Heating, Ignition & Gas Parts"
main-menu,Heat Exchanger,collection,/collections/heat-exchanger,"Heating, Ignition & Gas Parts"
main-menu,Heater,collection,/collections/heater,"Heating, Ignition & Gas Parts"
main-menu,Heater Element,collection,/collections/heater-element,"Heating, Ignition & Gas Parts"
main-menu,Heating Plate,collection,/collections/heating-plate,"Heating, Ignition & Gas Parts"
main-menu,Ignitor,collection,/collections/ignitor,"Heating, Ignition & Gas Parts"
main-menu,Infrared Heater,collection,/collections/infrared-heater,"Heating, Ignition & Gas Parts"
main-menu,Main Gas,collection,/collections/main-gas,"Heating, Ignition & Gas Parts"
